positionOpenDate,positionTitle,appointmentType,maximumSalary,workSchedule,salaryType,state,clean_positionTitle,skill_set_0,skill_set_1,skill_set_2,year_month
2015-10-15,Aviation Safety Inspector (Operations),Permanent,110978.0,Full-time,Per Year,Arizona,aviation safety operations,0.08355069031903394,0.8330907645855115,0.08335854509545462,2015-10
2016-09-30,Psychiatry Residency Program Director,Permanent,292000.0,Full-time,Per Year,Ohio,psychiatry residency,0.7760311914991089,0.1119931093923588,0.11197569910853224,2016-09
2015-10-16,"Aviation Safety Inspector (Rotorcraft-Helicopter),  General Aviation Operations ",Permanent,108507.0,Full-time,Per Year,Florida,aviation safety rotorcraft helicopter aviation operations,0.047780959234725286,0.904485637861486,0.04773340290378894,2015-10
2015-10-19,"Electrical Engineer - ZP-0850-IV, Electronics Engineer - ZP-0855-IV, Computer Scientist - ZP-1550-IV",Permanent,139523.0,Full-time,Per Year,Maryland,electrical engineer electronics engineer computer scientist,0.9030284843066487,0.04768420587353495,0.04928730981981631,2015-10
2015-10-26,COMPLIANCE OFFICER (PATHWAYS RECENT GRADUATE),Recent graduates,68465.0,Full-time,Per Year,Maryland,compliance,0.16703831990273776,0.16706963169710692,0.6658920484001554,2015-10
2015-10-26,"Program Analyst, ZA-343-3/4 (MAP) (International Affairs Specialist)",Permanent,139523.0,Full-time,Per Year,District of Columbia,international affairs,0.43924826547657825,0.11150313417765678,0.4492486003457651,2015-10
2015-10-29,Education Program Specialist,Term,139523.0,Full-time,Per Year,Virginia,education,0.16702778203083307,0.6659229544001853,0.16704926356898164,2015-10
2015-11-10,Mechanical Engineer (Recent Graduate),Recent graduates,67833.0,Full-time,Per Year,Maryland,mechanical engineer,0.7775402123068686,0.11122870194460058,0.11123108574853069,2015-11
2015-11-05,RESOURCE MANAGEMENT SPECIALIST,Agency Employees Only,67137.0,Full-time,Per Year,Washington,resource management,0.11339743382528983,0.7753725443886098,0.1112300217861003,2015-11
2015-11-02,"Contract Spec/Administrator/Negotiator, Procurement Analyst (Supvy/Non/Lead)",Permanent,158700.0,Full-time,Per Year,New Jersey,spec negotiator procurement supvy non,0.056904039815263305,0.055911462413410176,0.8871844977713265,2015-11
2016-10-27,AIRPLANE PILOT (SIMULATOR INSTRUCTOR),Permanent,91255.0,Full-time,Per Year,Oklahoma,airplane pilot simulator instructor,0.06687060961682227,0.0668874858715572,0.8662419045116205,2016-10
2015-11-05,Workforce Analyst,Permanent,68465.0,Full-time,Per Year,District of Columbia,workforce,0.1679025868569387,0.16800891546363178,0.6640884976794295,2015-11
